node name       address         scope function 
a               0               test           
b               4               test           
c               12              test           
f               20              test           
g               188             test           

e               0               fun2           
ab              8               fun2           
c               20008           fun2           

l               0               fun3           

g               0               fun7           

