Line No.   Lexeme         TOKEN-TYPE    ATTRIBUTE
  1        program        50 (resword)  -439336624     (NULL)
  1        test           52 (ID)       0x0            (ptr2symb tbl)
  1        (              75 (SYMBOL)   0              (Symbol)
  1        input          52 (ID)       0x0            (ptr2symb tbl)
  1        ,              78 (SYMBOL)   0              (Symbol)
  1        output         52 (ID)       0x0            (ptr2symb tbl)
  1        )              75 (SYMBOL)   1              (Symbol)
  1        ;              79 (SYMBOL)   0              (Symbol)
  2        var            51 (resword)  -439336544     (NULL)
  2        a              52 (ID)       0x0            (ptr2symb tbl)
  2        :              80 (SYMBOL)   0              (Symbol)
  2        integer        55 (resword)  -439336304     (NULL)
  2        ;              79 (SYMBOL)   0              (Symbol)
  3        var            51 (resword)  -439336544     (NULL)
  3        b              52 (ID)       0x0            (ptr2symb tbl)
  3        :              80 (SYMBOL)   0              (Symbol)
  3        real           56 (resword)  -439336224     (NULL)
  3        ;              79 (SYMBOL)   0              (Symbol)
  4        var            51 (resword)  -439336544     (NULL)
  4        c              52 (ID)       0x0            (ptr2symb tbl)
  4        :              80 (SYMBOL)   0              (Symbol)
  4        array          53 (resword)  -439336464     (NULL)
  4        [              76 (SYMBOL)   0              (Symbol)
  4        1              57 (INTEGER)  0              (INTEGER)
  4        ..             73 (SYMBOL)   -510890704     (Symbol)
  4        2              57 (INTEGER)  0              (INTEGER)
  4        ]              76 (SYMBOL)   1              (Symbol)
  4        of             54 (resword)  -439336384     (NULL)
  4        integer        55 (resword)  -439336304     (NULL)
  4        ;              79 (SYMBOL)   0              (Symbol)
  5        var            51 (resword)  -439336544     (NULL)
  5        f              52 (ID)       0x0            (ptr2symb tbl)
  5        :              80 (SYMBOL)   0              (Symbol)
  5        array          53 (resword)  -439336464     (NULL)
  5        [              76 (SYMBOL)   0              (Symbol)
  5        25             57 (INTEGER)  0              (INTEGER)
  5        ..             73 (SYMBOL)   -510891056     (Symbol)
  5        45             57 (INTEGER)  0              (INTEGER)
  5        ]              76 (SYMBOL)   1              (Symbol)
  5        of             54 (resword)  -439336384     (NULL)
  5        real           56 (resword)  -439336224     (NULL)
  5        ;              79 (SYMBOL)   0              (Symbol)
  6        var            51 (resword)  -439336544     (NULL)
  6        g              52 (ID)       0x0            (ptr2symb tbl)
